"","x","gen_rating"
"1","Action",7.9
"2","Adventure",7.1
"3","Fantasy",7.1
"4","Sci-Fi",6.8
"5","Action",6.8
"6","Adventure",6.8
"7","Fantasy",8.5
"8","Action",8.5
"9","Adventure",8.5
"10","Thriller",8.5
"11","Action",7.1
"12","Thriller",7.1
"13","Documentary",7.1
"14","Action",7.1
"15","Adventure",7.1
"16","Sci-Fi",6.6
"17","Action",6.6
"18","Adventure",6.6
"19","Romance",6.6
"20","Adventure",6.6
"21","Animation",6.6
"22","Comedy",6.2
"23","Family",6.2
"24","Fantasy",6.2
"25","Musical",6.2
"26","Romance",6.2
"27","Action",6.2
"28","Adventure",6.2
"29","Sci-Fi",7.8
"30","Adventure",7.8
"31","Family",7.8
"32","Fantasy",7.8
"33","Mystery",7.8
"34","Action",7.8
"35","Adventure",7.8
"36","Sci-Fi",7.8
"37","Action",7.5
"38","Adventure",7.5
"39","Sci-Fi",7.5
"40","Action",7.5
"41","Adventure",7.5
"42","Action",7.5
"43","Adventure",7.5
"44","Fantasy",7.5
"45","Action",7.5
"46","Adventure",7.5
"47","Western",7.5
"48","Action",7.5
"49","Adventure",7.5
"50","Fantasy",7.5
"51","Sci-Fi",7.5
"52","Action",7.5
"53","Adventure",7.5
"54","Family",7.5
"55","Fantasy",7.5
"56","Action",6.9
"57","Adventure",6.9
"58","Sci-Fi",6.9
"59","Action",6.9
"60","Adventure",6.9
"61","Fantasy",6.9
"62","Action",6.9
"63","Adventure",6.9
"64","Comedy",6.9
"65","Family",6.9
"66","Fantasy",6.9
"67","Sci-Fi",6.1
"68","Adventure",6.1
"69","Fantasy",6.1
"70","Action",6.1
"71","Adventure",6.1
"72","Fantasy",6.1
"73","Action",6.1
"74","Adventure",6.1
"75","Drama",6.1
"76","History",6.1
"77","Adventure",6.1
"78","Fantasy",6.1
"79","Adventure",6.7
"80","Family",6.7
"81","Fantasy",6.7
"82","Action",6.7
"83","Adventure",6.7
"84","Drama",6.7
"85","Romance",6.7
"86","Drama",6.7
"87","Romance",6.7
"88","Action",6.7
"89","Adventure",6.7
"90","Sci-Fi",6.7
"91","Action",6.7
"92","Adventure",7.3
"93","Sci-Fi",7.3
"94","Thriller",7.3
"95","Action",7.3
"96","Adventure",7.3
"97","Sci-Fi",7.3
"98","Thriller",7.3
"99","Action",7.3
"100","Adventure",7.3
"101","Thriller",7.3
"102","Action",7.3
"103","Adventure",7.3
"104","Fantasy",7.3
"105","Romance",7.3
"106","Action",6.5
"107","Adventure",6.5
"108","Sci-Fi",6.5
"109","Adventure",6.5
"110","Family",6.5
"111","Fantasy",6.5
"112","Action",6.5
"113","Adventure",6.5
"114","Fantasy",6.5
"115","Sci-Fi",6.5
"116","Thriller",6.5
"117","Adventure",6.5
"118","Animation",6.5
"119","Comedy",6.5
"120","Family",6.5
"121","Fantasy",7.2
"122","Action",7.2
"123","Adventure",7.2
"124","Sci-Fi",7.2
"125","Action",7.2
"126","Adventure",7.2
"127","Sci-Fi",7.2
"128","Adventure",7.2
"129","Family",7.2
"130","Fantasy",7.2
"131","Action",7.2
"132","Adventure",7.2
"133","Fantasy",7.2
"134","Sci-Fi",7.2
"135","Action",7.2
"136","Adventure",7.2
"137","Sci-Fi",6.6
"138","Adventure",6.6
"139","Animation",6.6
"140","Comedy",6.6
"141","Family",6.6
"142","Sport",6.6
"143","Action",6.6
"144","Adventure",6.6
